Price,Close,High,Low,Open,Volume
Ticker,TAN,TAN,TAN,TAN,TAN
Date,,,,,
2016-01-04,28.320396423339844,28.320396423339844,27.261948435073744,27.65771460038731,222400
2016-01-05,27.887813568115234,28.808203478026687,27.814182445542496,28.58731011030847,218900
2016-01-06,27.34478187561035,27.70373511445995,27.1146844107984,27.381598312622348,402900
2016-01-07,24.84132194519043,26.498024735452333,24.69405970901217,26.40598539896484,448300
2016-01-08,25.126644134521484,25.82614068495893,25.03460654684914,25.75250956151838,219400
2016-01-11,24.224660873413086,25.39355641882049,23.976155189491003,25.24629418142319,225100
2016-01-12,23.700040817260742,25.006994594685203,23.433126893569828,24.81371179554618,350600
2016-01-13,22.871686935424805,24.427146192660455,22.687608272785898,24.06819297606501,223700
2016-01-14,23.018949508666992,23.14780352114477,22.09855969267313,22.862483169727867,222500
2016-01-15,21.64756965637207,22.05253992571774,20.9664813791951,21.79483189168037,248100
2016-01-19,21.242597579956055,22.328657879346622,20.966481328299338,22.162987426150867,312500
2016-01-20,21.334638595581055,21.47269673228021,19.788383251339834,20.552306813613242,184700
2016-01-21,21.59234619140625,22.034134677181388,21.040113656320052,21.288617594907077,169700
2016-01-22,22.420698165893555,22.761241440345124,22.089357245450394,22.245823596159177,169200
2016-01-25,21.822444915771484,22.475922694448837,21.81324256109694,22.420699788878974,75800
2016-01-26,22.917705535888672,23.009744866455335,21.629160174468016,21.91448051927088,241400
2016-01-27,22.660001754760742,23.193827865278028,22.44831072821588,22.678408219913063,162300
2016-01-28,22.706018447875977,23.092582268344042,22.291842298980054,22.77964956817921,74800
2016-01-29,23.203027725219727,23.31347528178061,22.788853338001207,22.798057447339975,63600
2016-02-01,23.0373592376709,23.184621477450694,22.567960190058653,22.97293047170091,52400
2016-02-02,22.153783798217773,23.02815487329627,22.00652156006835,23.02815487329627,91800
2016-02-03,22.36547088623047,22.44830610662796,21.57393687149382,22.383879103097506,85500
2016-02-04,22.623184204101562,23.009748041417556,22.41149494344159,22.43910551756844,63700
2016-02-05,22.03413200378418,22.558753901766437,21.978907352572424,22.558753901766437,73200
2016-02-08,20.8192195892334,21.527918453500344,20.47867456560811,21.380656215041938,89800
2016-02-09,20.478673934936523,20.782402511841255,20.05529545128327,20.405042817974902,151200
2016-02-10,19.677932739257812,20.156535846550447,19.677932739257812,19.74236149853136,179100
2016-02-11,18.729936599731445,19.272966832883952,18.45381855013439,19.079684022615552,215700
2016-02-12,18.803564071655273,19.328185981706632,18.407796173053935,19.07047620330235,100700
2016-02-16,19.944847106933594,20.09210933501537,19.37420465648855,19.401816982567972,173100
2016-02-17,20.51548957824707,20.782401708602702,20.184148686973927,20.303798589097987,131800
2016-02-18,20.524694442749023,20.828423045077443,20.340617512688905,20.81922069075322,83500
2016-02-19,20.128925323486328,20.38663333916337,20.046090102588938,20.38663333916337,68100
2016-02-22,20.55230712890625,20.865239846494077,20.414248990089146,20.414248990089146,92600
2016-02-23,20.23016929626465,20.598324899987894,20.174946394582257,20.598324899987894,39500
2016-02-24,20.754793167114258,20.819221939780306,19.760772067540145,19.990869560548084,80700
2016-02-25,20.846830368041992,20.846830368041992,20.202558507287222,20.68115990926082,54000
2016-02-26,21.279415130615234,21.592346079642258,21.1873757900758,21.417473263672182,82000
2016-02-29,21.58314323425293,21.914482394946567,21.325433437709552,21.5095121145983,44500
2016-03-01,21.454288482666016,21.638367168344477,21.168968099818404,21.638367168344477,100700
2016-03-02,22.052541732788086,22.070949952586144,21.334638715708454,21.472696853184964,98500
2016-03-03,21.951297760009766,22.03413298501203,21.675179758167463,21.951297760009766,91700
2016-03-04,22.19980239868164,22.54954974474979,22.006519630864457,22.19980239868164,94400
2016-03-07,22.71522331237793,22.798058544910454,22.31025125949719,22.31025125949719,66500
2016-03-08,22.190601348876953,22.936116686351205,22.14458079995605,22.936116686351205,81600
2016-03-09,22.420698165893555,22.494329286491546,22.19980480409958,22.485125176978748,30900
2016-03-10,22.061742782592773,22.54034589793042,21.923684664265743,22.54034589793042,195800
2016-03-11,22.595571517944336,22.60477562767621,22.20900768672777,22.46671749270696,68300
2016-03-14,22.577165603637695,22.715223741968043,22.32865990134038,22.521940943901974,52400
2016-03-15,22.34706687927246,22.35627098871688,22.043338289624185,22.35627098871688,60300
2016-03-16,22.475923538208008,22.503535869781782,21.831649845523316,21.91448508474005,79600
2016-03-17,22.54034996032715,22.63238930763462,22.328660690373137,22.33786480065434,59200
2016-03-18,22.4575138092041,23.19382680218891,22.4575138092041,22.88089408738365,153900
2016-03-21,22.53114128112793,22.61397650135668,22.273433267531093,22.47591838614349,81400
2016-03-22,21.711997985839844,22.291842853206013,21.702793876135058,22.255028169891293,95500
2016-03-23,20.791606903076172,21.583142737784293,20.791606903076172,21.573938628601137,116600
2016-03-24,20.561508178710938,20.708770405599306,20.30379840390418,20.506285282503853,105600
2016-03-28,20.524694442749023,20.97568704683177,20.41424863581384,20.616733785531306,93500
2016-03-29,20.570716857910156,20.644347987714347,19.96325959814945,20.110521857757824,119300
2016-03-30,20.800811767578125,21.086132140599194,20.763995329508624,20.84683055966061,60800
2016-03-31,20.856035232543945,21.030909807089028,20.83762701301195,20.856035232543945,73400
2016-04-01,20.837627410888672,20.892852070539128,20.533898804829057,20.681161052887994,40300
2016-04-04,20.405044555664062,20.87444362458244,20.37743222613788,20.8376271852142,58100
2016-04-05,20.248577117919922,20.359024674621402,19.972460859422757,20.073702551269392,52300
2016-04-06,20.791606903076172,20.837625693487624,20.423451313271578,20.46947010368303,58400
2016-04-07,20.48788070678711,21.058521498529302,20.405045470001223,20.957279796738963,85100
2016-04-08,20.653549194335938,20.966481890879237,20.644345084966503,20.856034333950394,76600
2016-04-11,20.736385345458984,21.049318055920747,20.708773016122556,20.892851700689867,66600
